season_id,team_name,team_id,player_name,player_id,game_type,GS,GP,PG_Min,SG_Min,SF_Min,PF_Min,C_Min,Min,OEPM,DEPM,EPM,PLUS,Poss,player_PLUS_per_Poss,team_Poss,team_PLUS,team_PLUS_per_Poss,RAPM,pRAPM,RAPM_abs_diff
2050,South Dakota State,266,Ben Watkins,225232,College,37,37,0.0,0.0,0.0,22.027,7.298,29.405,2.8,4.6,7.5,2.839,55.522,0.051,75.495,1.3574,0.018,3.0,2.6,0.4
2050,South Dakota State,266,Mike Bryant,222062,College,41,41,0.0,0.0,0.0,0.0,31.316,31.316,-1.6,-1.8,-3.4,0.61,58.814,0.01,75.495,1.3574,0.018,-0.2,0.5,0.7
2050,South Dakota State,266,Mike Carmicheal,225199,College,41,41,0.073,34.219,0.0,0.0,0.0,34.292,1.7,0.9,2.6,1.439,64.407,0.022,75.495,1.3574,0.018,2.2,1.3,0.9
2050,South Dakota State,266,Pete Murrell,224645,College,41,41,24.415,0.0,0.0,0.0,0.0,24.415,1.1,1.3,2.4,3.099,46.051,0.067,75.495,1.3574,0.018,4.0,2.9,1.1
2050,South Dakota State,266,William Jordan,234707,College,2,38,15.737,4.184,0.0,0.0,0.0,19.973,-2.3,-6.9,-9.2,-1.87,37.206,-0.05,75.495,1.3574,0.018,-2.0,-1.9,0.1
2050,South Dakota State,266,Mateo Benitez,231756,College,7,42,1.998,0.0,16.594,1.883,1.976,22.522,0.3,0.4,0.6,-0.738,42.295,-0.017,75.495,1.3574,0.018,-0.4,-0.2,0.2
2050,American International,540,Jonathan Manning,230696,College,39,39,0.821,0.024,9.41,19.949,0.488,30.693,3.8,0.7,4.4,0.591,66.31,0.009,86.936,5.756,0.0662,-1.8,-0.0,1.8
2050,American International,540,Larry Kaczmarek,220134,College,28,41,0.0,1.098,0.195,10.001,11.243,22.513,3.4,0.5,3.8,2.926,48.877,0.06,86.936,5.756,0.0662,0.2,1.8,1.6
2050,American International,540,Craig McMahan,231527,College,25,36,0.139,0.277,1.028,0.582,23.082,25.027,-0.3,1.2,0.9,5.862,54.451,0.108,86.936,5.756,0.0662,5.9,3.3,2.6
2050,American International,540,Todd Caruthers,231737,College,16,41,1.511,14.536,3.124,0.219,0.122,19.538,0.7,-1.0,-0.3,1.928,42.679,0.045,86.936,5.756,0.0662,0.2,1.0,0.8
